pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
0,entailment,the directors near the banker introduced the analyst .,the directors introduced the analyst .,directors banker directors,,,,,,,,,,,,,,
1,entailment,the directors behind the artists needed the sculptor .,the directors needed the sculptor .,directors artists directors,,,,,,,,,,,,,,
2,entailment,the designer near the photographers found the officers .,the designer found the officers .,designer photographers designer,,,,,,,,,,,,,,
3,entailment,the banker next to the essayists brought the administrator .,the banker brought the administrator .,banker essayists banker,,,,,,,,,,,,,,
4,entailment,the planner in front of the colorist offended the illustrator .,the planner offended the illustrator .,planner colorist planner,,,,,,,,,,,,,,
5,entailment,the tourists by the authors offended the planner .,the tourists offended the planner .,tourists authors tourists,,,,,,,,,,,,,,
6,entailment,the chaplains in front of the planners called the potter .,the chaplains called the potter .,chaplains planners chaplains,,,,,,,,,,,,,,
7,entailment,the chaplain next to the illustrators deceived the bankers .,the chaplain deceived the bankers .,chaplain illustrators chaplain,,,,,,,,,,,,,,
8,entailment,the musicians next to the lawyers contacted the administrators .,the musicians contacted the administrators .,musicians lawyers musicians,,,,,,,,,,,,,,
9,entailment,the nurses behind the chaplain introduced the counselors .,the nurses introduced the counselors .,nurses chaplain nurses,,,,,,,,,,,,,,
10,entailment,the photographer next to the colorist disturbed the essayist .,the photographer disturbed the essayist .,photographer colorist photographer,,,,,,,,,,,,,,
11,entailment,the nurse behind the musician contacted the administrator .,the nurse contacted the administrator .,nurse musician nurse,,,,,,,,,,,,,,
12,entailment,the doctors in front of the authors recommended the musician .,the doctors recommended the musician .,doctors authors doctors,,,,,,,,,,,,,,
13,entailment,the essayists next to the administrator recommended the counselor .,the essayists recommended the counselor .,essayists administrator essayists,,,,,,,,,,,,,,
14,entailment,the authors by the therapist deceived the directors .,the authors deceived the directors .,authors therapist authors,,,,,,,,,,,,,,
15,entailment,the banker next to the directors expected the analyst .,the banker expected the analyst .,banker directors banker,,,,,,,,,,,,,,
16,entailment,the analyst by the curators brought the chaplains .,the analyst brought the chaplains .,analyst curators analyst,,,,,,,,,,,,,,
17,entailment,the tourists next to the therapist expected the designer .,the tourists expected the designer .,tourists therapist tourists,,,,,,,,,,,,,,
18,entailment,the therapists near the sculptor needed the lawyer .,the therapists needed the lawyer .,therapists sculptor therapists,,,,,,,,,,,,,,
19,entailment,the lawyer behind the tourist introduced the therapists .,the lawyer introduced the therapists .,lawyer tourist lawyer,,,,,,,,,,,,,,
20,entailment,the tourists next to the administrator called the photographer .,the tourists called the photographer .,tourists administrator tourists,,,,,,,,,,,,,,
21,entailment,the judges in front of the bankers introduced the tourist .,the judges introduced the tourist .,judges bankers judges,,,,,,,,,,,,,,
22,entailment,the artists behind the doctor deceived the psychotherapist .,the artists deceived the psychotherapist .,artists doctor artists,,,,,,,,,,,,,,
23,entailment,the counselors behind the essayist needed the administrators .,the counselors needed the administrators .,counselors essayist counselors,,,,,,,,,,,,,,
24,entailment,the psychotherapists near the photographers brought the counselors .,the psychotherapists brought the counselors .,psychotherapists photographers psychotherapists,,,,,,,,,,,,,,
25,entailment,the author behind the nurses offended the directors .,the author offended the directors .,author nurses author,,,,,,,,,,,,,,
26,entailment,the artist near the psychotherapist disturbed the doctor .,the artist disturbed the doctor .,artist psychotherapist artist,,,,,,,,,,,,,,
27,entailment,the judge next to the artists introduced the doctor .,the judge introduced the doctor .,judge artists judge,,,,,,,,,,,,,,
28,entailment,the photographer near the officer contacted the illustrators .,the photographer contacted the illustrators .,photographer officer photographer,,,,,,,,,,,,,,
29,entailment,the therapists by the officer recommended the counselor .,the therapists recommended the counselor .,therapists officer therapists,,,,,,,,,,,,,,
30,entailment,the illustrator near the author offended the nurse .,the illustrator offended the nurse .,illustrator author illustrator,,,,,,,,,,,,,,
31,entailment,the sculptor near the directors found the analysts .,the sculptor found the analysts .,sculptor directors sculptor,,,,,,,,,,,,,,
32,entailment,the colorist next to the designer offended the tourists .,the colorist offended the tourists .,colorist designer colorist,,,,,,,,,,,,,,
33,entailment,the colorist behind the administrator disturbed the judges .,the colorist disturbed the judges .,colorist administrator colorist,,,,,,,,,,,,,,
34,entailment,the illustrator near the designer expected the therapist .,the illustrator expected the therapist .,illustrator designer illustrator,,,,,,,,,,,,,,
35,entailment,the illustrator near the bankers deceived the counselor .,the illustrator deceived the counselor .,illustrator bankers illustrator,,,,,,,,,,,,,,
36,entailment,the designers near the potter brought the therapist .,the designers brought the therapist .,designers potter designers,,,,,,,,,,,,,,
37,entailment,the banker behind the illustrators offended the curators .,the banker offended the curators .,banker illustrators banker,,,,,,,,,,,,,,
38,entailment,the counselor behind the artists recommended the musicians .,the counselor recommended the musicians .,counselor artists counselor,,,,,,,,,,,,,,
39,entailment,the essayists near the illustrators disturbed the potters .,the essayists disturbed the potters .,essayists illustrators essayists,,,,,,,,,,,,,,
