pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
0,entailment,the artisan next to the actor brought the lyricist .,the artisan brought the lyricist .,artisan actor artisan,,,,,,,,,,,,,,
1,entailment,the technician next to the architect deceived the chaplain .,the technician deceived the chaplain .,technician architect technician,,,,,,,,,,,,,,
2,entailment,the judge by the lawyer needed the chaplains .,the judge needed the chaplains .,judge lawyer judge,,,,,,,,,,,,,,
3,entailment,the designer by the artists deceived the professor .,the designer deceived the professor .,designer artists designer,,,,,,,,,,,,,,
4,entailment,the colorists next to the lawyer thanked the photojournalists .,the colorists thanked the photojournalists .,colorists lawyer colorists,,,,,,,,,,,,,,
5,entailment,the tourist by the actors mentioned the engineer .,the tourist mentioned the engineer .,tourist actors tourist,,,,,,,,,,,,,,
6,entailment,the artisan by the writer supported the nurses .,the artisan supported the nurses .,artisan writer artisan,,,,,,,,,,,,,,
7,entailment,the technician by the judge needed the engineer .,the technician needed the engineer .,technician judge technician,,,,,,,,,,,,,,
8,entailment,the professors by the directors mentioned the sculptor .,the professors mentioned the sculptor .,professors directors professors,,,,,,,,,,,,,,
9,entailment,the designers by the workers thanked the sculptors .,the designers thanked the sculptors .,designers workers designers,,,,,,,,,,,,,,
10,entailment,the architect next to the colorist deceived the technician .,the architect deceived the technician .,architect colorist architect,,,,,,,,,,,,,,
11,entailment,the singer by the writers brought the potters .,the singer brought the potters .,singer writers singer,,,,,,,,,,,,,,
12,entailment,the lyricist next to the writers mentioned the nurses .,the lyricist mentioned the nurses .,lyricist writers lyricist,,,,,,,,,,,,,,
13,entailment,the architects by the professor addressed the sculptors .,the architects addressed the sculptors .,architects professor architects,,,,,,,,,,,,,,
14,entailment,the engineer next to the judge deceived the actor .,the engineer deceived the actor .,engineer judge engineer,,,,,,,,,,,,,,
15,entailment,the chaplain by the directors disturbed the workers .,the chaplain disturbed the workers .,chaplain directors chaplain,,,,,,,,,,,,,,
16,entailment,the nurses next to the lyricist deceived the singer .,the nurses deceived the singer .,nurses lyricist nurses,,,,,,,,,,,,,,
17,entailment,the musicians next to the technologist found the sculptor .,the musicians found the sculptor .,musicians technologist musicians,,,,,,,,,,,,,,
18,entailment,the lyricist by the designers addressed the workers .,the lyricist addressed the workers .,lyricist designers lyricist,,,,,,,,,,,,,,
19,entailment,the actor by the technologists contacted the artists .,the actor contacted the artists .,actor technologists actor,,,,,,,,,,,,,,
20,entailment,the technician next to the singers disturbed the designer .,the technician disturbed the designer .,technician singers technician,,,,,,,,,,,,,,
21,entailment,the workers next to the chaplains needed the tourists .,the workers needed the tourists .,workers chaplains workers,,,,,,,,,,,,,,
22,entailment,the lawyer by the sculptor found the technicians .,the lawyer found the technicians .,lawyer sculptor lawyer,,,,,,,,,,,,,,
23,entailment,the engineers by the singer supported the doctor .,the engineers supported the doctor .,engineers singer engineers,,,,,,,,,,,,,,
24,entailment,the technician by the musician thanked the tourists .,the technician thanked the tourists .,technician musician technician,,,,,,,,,,,,,,
25,entailment,the colorists by the engineer found the singers .,the colorists found the singers .,colorists engineer colorists,,,,,,,,,,,,,,
26,entailment,the photojournalist by the pencillers thanked the lawyer .,the photojournalist thanked the lawyer .,photojournalist pencillers photojournalist,,,,,,,,,,,,,,
27,entailment,the potter next to the photojournalist needed the engineers .,the potter needed the engineers .,potter photojournalist potter,,,,,,,,,,,,,,
28,entailment,the technologist by the artisans addressed the judge .,the technologist addressed the judge .,technologist artisans technologist,,,,,,,,,,,,,,
29,entailment,the lawyers by the doctor thanked the sculptor .,the lawyers thanked the sculptor .,lawyers doctor lawyers,,,,,,,,,,,,,,
30,entailment,the psychiatrist next to the artisan needed the potter .,the psychiatrist needed the potter .,psychiatrist artisan psychiatrist,,,,,,,,,,,,,,
31,entailment,the designer next to the worker brought the artists .,the designer brought the artists .,designer worker designer,,,,,,,,,,,,,,
320,entailment,the designers who the penciller needed supported the actor .,the designers supported the actor .,designers penciller needed designers,,,,,,,,,,,,,,
321,entailment,the artist who the professors disturbed mentioned the lawyer .,the artist mentioned the lawyer .,artist professors disturbed artist,,,,,,,,,,,,,,
322,entailment,the colorist who the technologist thanked addressed the architect .,the colorist addressed the architect .,colorist technologist thanked colorist,,,,,,,,,,,,,,
323,entailment,the psychiatrist who the designer found addressed the sculptor .,the psychiatrist addressed the sculptor .,psychiatrist designer found psychiatrist,,,,,,,,,,,,,,
324,entailment,the pencillers who the colorists contacted supported the lyricists .,the pencillers supported the lyricists .,pencillers colorists contacted pencillers,,,,,,,,,,,,,,
325,entailment,the potters who the actors contacted found the artisans .,the potters found the artisans .,potters actors contacted potters,,,,,,,,,,,,,,
326,entailment,the colorist who the lawyer mentioned thanked the chaplain .,the colorist thanked the chaplain .,colorist lawyer mentioned colorist,,,,,,,,,,,,,,
327,entailment,the designer who the technologists contacted advised the colorists .,the designer advised the colorists .,designer technologists contacted designer,,,,,,,,,,,,,,
328,entailment,the photojournalists who the psychiatrist deceived brought the director .,the photojournalists brought the director .,photojournalists psychiatrist deceived photojournalists,,,,,,,,,,,,,,
329,entailment,the potter who the designers mentioned advised the director .,the potter advised the director .,potter designers mentioned potter,,,,,,,,,,,,,,
